id	created_at	favourite_count	retweet_count	length
875888479942651909	1497659461	0	5698	122
875888258407858176	1497659408	103090	20771	136
875843513761583104	1497648740	43214	9277	140
875840132238032897	1497647934	45471	10422	137
875732813278048256	1497622347	71400	17855	41
875701471999864833	1497614875	150518	47508	111
875698062030778368	1497614062	110552	24458	142
875690204564258816	1497612188	132495	28581	140
875682853585129472	1497610436	108048	25178	143
875500520840060928	1497566964	74025	16824	52
875468769212149760	1497559394	48496	9329	144
875441788110110727	1497552961	150941	53577	148
875438639823675392	1497552211	122102	36167	109
875321478849363968	1497524277	119702	35357	132
875305788708974592	1497520537	140824	41227	140
875166406417010688	1497487305	191497	40505	137
874991696186142721	1497445651	141674	29550	140
874971795362897921	1497440906	139282	32432	140
874822136782880768	1497405225	84037	11718	54
874821262987730944	1497405017	0	6837	140
874767922295705600	1497392299	56891	13790	140
874728484475744257	1497382897	65959	12506	88
874626492310978564	1497358580	81747	21121	136
874619861019840512	1497356999	67116	12949	126
874609480301936640	1497354524	93606	22813	98
874608587473080320	1497354311	93180	28354	132
874599130018054145	1497352056	0	17938	140
874578159676665857	1497347056	65485	16814	140
874576057579565056	1497346555	94992	24669	137
874418514240688129	1497308994	45808	9632	130
874373283919089664	1497298210	73286	16428	140
874325287143604224	1497286767	68861	16766	99
874309930232184833	1497283105	88408	22354	139
874218586155479040	1497261327	44604	4987	29
874087477807599616	1497230069	87491	18886	141
874086142425083904	1497229750	0	7685	124
874085723762286592	1497229650	0	5709	140
874084433460154368	1497229343	58794	8498	71
873884774041079808	1497181740	109172	30209	135
873879934040780801	1497180586	94309	24341	127
873878232264822784	1497180181	87125	18737	140
873878061778907137	1497180140	97533	24045	139
873643935993708544	1497124320	78647	19532	140
873353586025132038	1497055095	92643	21551	147
873311842956914688	1497045143	90437	21542	144
873250570508922880	1497030534	59140	12162	128
873245481488535554	1497029321	59736	14998	140
873183401620230144	1497014520	78751	16812	144
873180518493429765	1497013833	0	14492	140
873131235614347264	1497002083	84209	14465	64
873120139222306817	1496999437	123883	36469	103
872427222392504320	1496834233	88858	16819	144
872419018799550464	1496832277	95788	24088	128
872258719404482561	1496794059	102172	24451	137
